law,label,work_rule_ja,explanation_ja,price
"（安全衛生に関する事業者の責務）
1 事業者は、労働安全衛生法その他関係法令に基づき、事業場における作業環境及び作業方法が安全衛生の基準に適合するよう必要な措置を講じなければならない。

2 事業者は、作業場の空間、換気、照明、騒音・振動、粉じん、有害ガス・蒸気、放射線その他の有害要因について、関係法令および技術上の基準に適合する状態を維持するため、設備の設置・改善、点検及び測定等の措置を実施するものとする。

3 事業者は、労働者に対し、必要な保護具を適切に選定・無償で貸与し、その正しい使用方法を周知・指導するとともに、応急手当用品の整備、救急体制の確保及び緊急時の連絡・避難手順を整備しなければならない。

4 事業者は、労働災害及び職業性疾病の防止のため、機械・装置の本質安全化、ガード・インターロック等の技術的対策、作業標準・手順書の整備、作業間のインターロック・ロックアウト／タグアウト等の管理的対策、健康管理・産業保健上の措置その他必要な保護措置を講じるものとする。

5 事業者は、事業場の安全衛生管理体制を整備し、安全管理者、衛生管理者、統括安全衛生責任者、作業主任者、産業医等（法令により選任・選定を要する者を含む）を必要に応じて選任し、その職務の遂行に必要な権限及び資源を付与しなければならない。

6 事業者は、労働者及び現場の指揮監督者に対し、就業に先立ち、または有害・危険業務への配置換え、作業内容・設備の変更等の際には、安全衛生教育を行い、必要に応じて再教育・追加教育を実施するものとする。教育は、労働安全衛生法第59条等に基づく内容を含み、理解度の確認及び記録の保存を行わなければならない。

7 事業者は、定期的かつ計画的にリスクアセスメント（危険性又は有害性等の調査及びその低減措置）を実施し、その結果に基づき、優先度を踏まえた改善計画を策定・実施し、実効性の評価及び見直しを継続的に行うものとする。

8 事業者は、事業場の安全衛生に関する規程、作業標準、立入禁止、保護具着用等のルールについて、巡視、点検、監視その他の方法によりその遵守状況を確認し、違反が認められた場合には是正措置、再発防止策及び必要な指導を行わなければならない。

9 事業者は、労働者の死傷病災害及び職業性疾病について、救急対応、原因究明、再発防止策の策定・実施を行うとともに、所轄労働基準監督署長への労働者死傷病報告その他法令に基づく届出・記録・統計を適正に行うものとする。

10 事業者は、労働者が業務上の事由により負傷し、又は疾病にかかった場合には、労働基準法及び労働者災害補償保険法その他関係法令に基づき、療養補償、休業補償等の補償・給付に係る必要な手続を行い、保険加入・保険料納付その他の義務を適正に履行しなければならない。

11 事業者は、国、都道府県労働局及び労働基準監督署等の行政機関による監督、指導、立入検査等に協力し、求めに応じ資料の提出、説明及び是正措置を行うものとする。

12 前各項の措置について、事業者は、計画の策定、実施、定期的な点検・見直し及び継続的改善を行い、その結果を記録し、必要に応じて労使で共有するものとする。",Contrary,事業者は、明らかに軽微と判断される作業については、保護具の選定・無償貸与および当該作業に関する安全衛生教育を省略しても差し支えないものとする。,法文は事業者に必要な保護具の適切な選定・無償貸与とその使用方法の周知・指導を義務付けていますが、本就業規則は「軽微な作業」に限定してそれらの措置を省略できると規定しており、義務の程度・適用範囲を狭めることで法の要請と条件面で齟齬を生じさせています（完全に否定するわけではないため「Contrary」に該当します）。,0.00131225
"（安全衛生に関する事業者の責務）
1 事業者は、労働安全衛生法その他関係法令に基づき、事業場における作業環境及び作業方法が安全衛生の基準に適合するよう必要な措置を講じなければならない。

2 事業者は、作業場の空間、換気、照明、騒音・振動、粉じん、有害ガス・蒸気、放射線その他の有害要因について、関係法令および技術上の基準に適合する状態を維持するため、設備の設置・改善、点検及び測定等の措置を実施するものとする。

3 事業者は、労働者に対し、必要な保護具を適切に選定・無償で貸与し、その正しい使用方法を周知・指導するとともに、応急手当用品の整備、救急体制の確保及び緊急時の連絡・避難手順を整備しなければならない。

4 事業者は、労働災害及び職業性疾病の防止のため、機械・装置の本質安全化、ガード・インターロック等の技術的対策、作業標準・手順書の整備、作業間のインターロック・ロックアウト／タグアウト等の管理的対策、健康管理・産業保健上の措置その他必要な保護措置を講じるものとする。

5 事業者は、事業場の安全衛生管理体制を整備し、安全管理者、衛生管理者、統括安全衛生責任者、作業主任者、産業医等（法令により選任・選定を要する者を含む）を必要に応じて選任し、その職務の遂行に必要な権限及び資源を付与しなければならない。

6 事業者は、労働者及び現場の指揮監督者に対し、就業に先立ち、または有害・危険業務への配置換え、作業内容・設備の変更等の際には、安全衛生教育を行い、必要に応じて再教育・追加教育を実施するものとする。教育は、労働安全衛生法第59条等に基づく内容を含み、理解度の確認及び記録の保存を行わなければならない。

7 事業者は、定期的かつ計画的にリスクアセスメント（危険性又は有害性等の調査及びその低減措置）を実施し、その結果に基づき、優先度を踏まえた改善計画を策定・実施し、実効性の評価及び見直しを継続的に行うものとする。

8 事業者は、事業場の安全衛生に関する規程、作業標準、立入禁止、保護具着用等のルールについて、巡視、点検、監視その他の方法によりその遵守状況を確認し、違反が認められた場合には是正措置、再発防止策及び必要な指導を行わなければならない。

9 事業者は、労働者の死傷病災害及び職業性疾病について、救急対応、原因究明、再発防止策の策定・実施を行うとともに、所轄労働基準監督署長への労働者死傷病報告その他法令に基づく届出・記録・統計を適正に行うものとする。

10 事業者は、労働者が業務上の事由により負傷し、又は疾病にかかった場合には、労働基準法及び労働者災害補償保険法その他関係法令に基づき、療養補償、休業補償等の補償・給付に係る必要な手続を行い、保険加入・保険料納付その他の義務を適正に履行しなければならない。

11 事業者は、国、都道府県労働局及び労働基準監督署等の行政機関による監督、指導、立入検査等に協力し、求めに応じ資料の提出、説明及び是正措置を行うものとする。

12 前各項の措置について、事業者は、計画の策定、実施、定期的な点検・見直し及び継続的改善を行い、その結果を記録し、必要に応じて労使で共有するものとする。",Neutral – Insufficient,事業者は、事業場の安全衛生を確保するために必要な対策を適宜行うものとする。,法文は具体的な措置（設備設置・点検・測定、保護具の選定・貸与、教育、リスクアセスメント、記録・届出等）を詳細に義務づけています。一方で本就業規則は「必要な対策を適宜行う」とのみ定めており、どのような措置を誰がいつどの程度行うかといった条件や手続が明示されていません。したがって関連はあるが具体性が不足しており、法の要件を満たすかどうか判断できないため「Neutral – Insufficient」に該当します。,0.001307
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Weak Entailment,当社に雇用される従業員は、健康保険、厚生年金保険、雇用保険等の被用者保険について、関係法令に従い被保険者となる手続を行い、法令で定められた保険料は給与から控除されるものとする。,この就業規則は、法が定める被用者保険への強制適用および保険料の賃金控除という趣旨を一般的に表現したものです。法律の具体的な対象要件や料率（例：保険料率18.3％のうち労働者負担9.15％等）は記載せず、関係法令に従う旨に留めているため、より一般的でありながら法律と矛盾しない（弱含意）記述となっています。,0.00128125
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Contradictory,当社は日本国内の事業所に雇用される全ての労働者について、厚生年金、健康保険、雇用保険等の被用者保険への加入手続きおよび賃金からの保険料控除を一切行わないものとする。,法は国内事業所に雇用される労働者を被用者保険の強制適用対象とし、労働者および使用者の保険料負担と納付を定めています。本就業規則は被用者保険への加入義務と賃金からの控除を否定しており、法の強制適用および保険料負担・納付義務と直接矛盾するため、矛盾（Contradictory）に該当します。,0.00100125
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Exemplification,契約期間が3か月で、入社後継続して2か月を超えて勤務する見込みのある有期雇用者は被用者保険の強制適用対象とし、毎月の給与から厚生年金保険料（労働者負担分9.15％）および所属健康保険の被保険者負担分を控除して納付するものとする。,法第2条は継続して2月を超えて使用される見込みのある有期契約者を被用者保険の強制適用対象とする旨を定め、第85条・第86条は保険料の労使負担と控除・納付方法を定めています。本規則は「契約期間3か月の有期雇用者」を具体例として挙げ、強制適用と労働者負担分の給与控除を明示しており、条文の具体例（Exemplification）に当たります。,0.00120275
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Strong Entailment,当社は、日本国内の事業所に雇用される労働者について、健康保険、厚生年金保険、雇用保険等の被用者保険の強制適用対象とし、継続して2月を超えて使用される見込みのある有期雇用者や法令で定める短時間労働者等を含め、関係法令に従って被保険者資格の判定を行う。労働者は標準報酬月額等に応じた保険料の労働者負担分を毎月負担し、当社は賃金から控除して納付するものとする（厚生年金保険料は保険料率18.3％のうち労働者負担9.15％、健康保険料および雇用保険料は関係法令・保険者の定める率に従う）。当社は事業主として所定の事業主負担分を毎月負担し、一括して納付する（厚生年金事業主負担9.15％等、雇用保険・労災保険は法令に従う）。,本作業規則は、法の第2条に定める被用者保険の強制適用対象に関する規定および第85条・第86条に定める労働者と使用者の保険料負担・納付方法を、同等の意味内容で整理・再表現したものであり、同法の趣旨・具体的率（厚生年金の労使折半9.15％等）を反映しているため「Strong Entailment」に該当します。,0.00156525
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Contrary,当社の被用者保険適用基準は正社員のみを対象とし、契約社員・パートタイマー・短時間労働者等は原則として健康保険・厚生年金・雇用保険の加入対象外とする。,法は第2条で一定の有期契約者や所定労働時間等が適用基準を満たす短時間労働者も被用者保険の強制適用対象と定め、さらに第85条・第86条で労使の保険料負担を規定しています。本規則は法の適用範囲を狭めて正社員のみを加入対象とする点で、法の定める適用範囲と条件に矛盾（程度・条件の食い違い）を生じさせるため「Contrary」に該当します。,0.0011385
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Neutral – Insufficient,従業員は被用者保険（健康保険、厚生年金保険、雇用保険等）に関する会社の手続きおよび指示に従わなければならない。,この就業規則は法の被保険者の適用や保険料負担の規定に関連する一般的な義務を示しているが、どの従業員が強制適用となるか、保険料の具体的な率や控除方法、納付手続など法に定められた具体的条件や数値を示しておらず、法との関係が明確に判定できないため「Neutral – Insufficient」に該当する。,0.00093925
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Subaltern,当社に雇用される全ての従業員（正社員、契約社員、パート、アルバイト、派遣労働者を含む）は、雇用期間の長短にかかわらず入社日から被用者保険の適用対象とし、健康保険・厚生年金保険・雇用保険の加入手続および労使折半による保険料の控除・納付を行う。,法は継続使用見込みが2月を超える者や所定基準を満たす短時間労働者等を強制適用の対象としているが、本就業規則はその適用範囲を拡大し、当社に雇用されるすべての労働者を入社日から被用者保険の対象とすることで、法の要件を上回って保護を与える規定（上位法の範囲を拡張するサブアラテン関係）になっている。,0.00108675
"第2条（強制適用となる社会保険の対象者）
1 日本国内の事業所に雇用される労働者は、健康保険法、厚生年金保険法、雇用保険法等の規定に基づき、次の各号に掲げる者を含めて被用者保険の強制適用の対象となる。
- 期間の定めのない労働契約、期間の定めのある労働契約、季節的業務その他一定の業務に従事し、継続して2月を超えて使用される見込みのある者
- 短時間労働者のうち、週の所定労働時間・賃金等が法令で定める適用基準を満たす者
- 国家公務員・地方公務員等で共済組合等の制度により被用者保険の適用を受ける者
- 自衛官、警察官等で各制度により被用者保険の適用を受ける者
- 役員その他事業の経営に従事する者であって、常時使用関係にあり報酬の支給を受け、被保険者資格の要件を満たす者

2 使用者とは、次に掲げる事業主をいう。
- 会社その他の法人、個人事業主等で労働者を雇用するもの
- 国、地方公共団体及びこれらの機関
- 外国公館、国際機関その他国内で労働者を雇用する機関

第85条（被保険者の保険料の負担および納付方法）
1 労働者は、標準報酬月額等に対し、次の各保険料を毎月負担し、賃金から控除する方法により納付する。
- 厚生年金保険料：保険料率18.3％のうち労働者負担分は9.15％（労使折半）
- 健康保険料（40歳以上65歳未満の者は介護保険料を含む）：所属する保険者が定める率の労働者負担分
- 雇用保険料：法令で定める労働者負担率

2 産前産後休業、育児休業等の期間の保険料免除その他の取扱いは、関係法令による。

第86条（使用者の保険料の負担および納付方法）
1 使用者は、被保険者の標準報酬月額等に対し、次の各保険料を毎月負担し、事業主として一括して納付する。
- 厚生年金保険料：保険料率18.3％のうち事業主負担分は9.15％（労使折半）
- 健康保険料（必要に応じ介護保険料を含む）：所属する保険者が定める率の事業主負担分
- 雇用保険料：法令で定める事業主負担率
- 労災保険料：全額事業主負担（業種に応じた料率）

2 保険料率、標準報酬月額の範囲、納期限その他の詳細は、関係法令及び厚生労働省の告示等による。",Neutral – Irrelevant,従業員は勤務時間中、常に当社指定の制服を着用し、名札を見やすい位置に着けなければならない。,提示された法律は被用者保険の適用範囲や保険料の負担・納付に関する規定であり、社会保険の適用や保険料負担に関するものです。一方、本就業規則は勤務中の制服・名札着用に関する服装規定であり、社会保険の適用・保険料の負担や納付方法とは法的にも論理的にも無関係であるため「Neutral – Irrelevant」に該当します。,0.0007955
"第12条（医療保険の適用対象）
1 事業主は、健康保険法その他関係法令に基づき、当社に雇用される労働者を法定の医療保険（協会けんぽ又は健康保険組合等）に加入させる。
2 適用対象は、期間の定めの有無を問わず雇用契約により使用される者であって、次の各号のいずれかに該当するものを含む。
  (1) 無期雇用労働者及び有期雇用労働者（季節的業務又は一定の事業に従事する者を含む）で、被用期間が2カ月を超える見込みがある者。
  (2) いわゆる短時間労働者であって、週所定労働時間が概ね20時間以上、かつ2カ月を超える使用見込みがあるなど、健康保険法上の適用基準を満たす者（一定の賃金水準・事業所規模等の要件を含む）。
3 国家公務員・地方公務員・独立行政法人等の職員については、各共済組合等の制度に従う。
4 上記のほか、法令により被保険者とされる者は、その定めに従う。

第13条（保険料の額及び負担）
1 健康保険料は、被保険者の標準報酬月額に、加入先（協会けんぽ又は健康保険組合）の定める保険料率を乗じて算定する。保険料率は法令・告示により改定される場合がある。また、40歳以上65歳未満の被保険者については、介護保険第2号被保険者として介護保険料を併せて徴収する。
2 保険料の負担は、事業主と被保険者が折半を原則とし、事業主は被保険者負担分を賃金から控除のうえ、事業主負担分と併せて納付する。
3 保険料の算定・徴収・納付に関し、法令に特段の定めがある場合はこれに従う。

第21条（医療保険の給付・自己負担）
1 被保険者及び被扶養者は、法令に定める範囲で、療養の給付（診療、投薬、処置、手術、入院、リハビリテーション等）の支給を受ける。
2 窓口での自己負担割合は、次の各号のとおりとする（法令改正により変更される場合がある）。
  (1) 一般（70歳未満）：3割負担（就学前は2割負担）。
  (2) 70歳以上75歳未満：原則2割負担（一定以上所得者は3割）。
  (3) 75歳以上（後期高齢者医療制度）：原則1割又は2割（一定以上所得者は3割）。
3 高額療養費制度により、月額自己負担が法令の定める上限額を超えた場合、超過分が支給される。
4 医師の指示に基づき、疾病の治療上やむを得ない場合の移送費は、法令の範囲で支給対象となる。
5 出産に関しては、出産育児一時金等の給付が支給される（正常分娩等は原則として療養の給付の対象外）。妊婦健康診査は自治体の公費助成等の対象とする。
6 大学病院等の特定機能病院・地域医療支援病院を紹介状なく受診した場合の選定療養費等、法令上保険給付の対象外とされる費用は、自己負担となる。
7 給付の範囲・水準その他の詳細は、健康保険法等関係法令及び加入先保険者の規約による。",Strong Entailment,事業主は、健康保険法その他関係法令に従い、当社に雇用される労働者を協会けんぽ又は健康保険組合等の法定医療保険の被保険者として加入させるものとする。適用対象は、雇用契約に基づき使用される者であって、無期雇用・有期雇用を問わず被用見込みが2カ月を超える者及び健康保険法の短時間労働者に関する適用基準を満たす者等を含む。国家公務員・地方公務員等は各共済組合等の制度に従う。,この就業規則項目は、法律（第12条〜第21条のうち第12条の内容）で定める事業主の義務（健康保険への加入手続き）、適用対象（被用見込みが2カ月を超える者や短時間労働者の基準）、及び公務員等の扱いをそのまま再表現しており、法の意味を変えずに言い換えているため「Strong Entailment」に該当します。,0.0012247500000000001
